type,model,size,inductance,dcr,staturation_current,temperature_rise_current
磁封胶功率电感,FHD201610S-R24MT,2.0*1.6*1.0,0.24uH,0.04Ω,4.5A,3A
磁封胶功率电感,FHD201610S-R33MT,2.0*1.6*1.0,0.33uH,0.049Ω,4.4A,2.7A
磁封胶功率电感,FHD201610S-R47MT,2.0*1.6*1.0,0.47uH,0.049Ω,4.06A,2.7A
磁封胶功率电感,FHD201610S-R56MT,2.0*1.6*1.0,0.56uH,0.053Ω,3.8A,2.6A
磁封胶功率电感,FHD201610S-R68MT,2.0*1.6*1.0,0.68uH,0.065Ω,3.5A,2.5A
磁封胶功率电感,FHD201610S-1R0MT,2.0*1.6*1.0,1.0uH,0.095Ω,3.3A,2A
磁封胶功率电感,FHD201610S-1R5MT,2.0*1.6*1.0,1.5uH,0.13Ω,1.95A,1.7A
磁封胶功率电感,FHD201610S-2R2MT,2.0*1.6*1.0,2.2uH,0.18Ω,1.9A,1.4A
磁封胶功率电感,FHD201610S-3R3MT,2.0*1.6*1.0,3.3uH,0.307Ω,1.4A,1.1A
磁封胶功率电感,FHD201610S-4R7MT,2.0*1.6*1.0,4.7uH,0.425Ω,1.1A,0.9A
磁封胶功率电感,FHD201610S-6R8MT,2.0*1.6*1.0,6.8uH,0.62Ω,0.95A,0.7A
磁封胶功率电感,FHD201610S-8R2MT,2.0*1.6*1.0,8.2uH,0.87Ω,0.86A,0.66A
磁封胶功率电感,FHD201610S-100MT,2.0*1.6*1.0,10uH,0.875Ω,0.8A,0.6A
磁封胶功率电感,FHD252010S-R24MT,2.5*2.0*1.0,0.24uH,0.033Ω,6.1A,3.7A
磁封胶功率电感,FHD252010S-R33MT,2.5*2.0*1.0,0.33uH,0.039Ω,4.8A,3.5A
磁封胶功率电感,FHD252010S-R47MT,2.5*2.0*1.0,0.47uH,0.045Ω,4.4A,3.2A
磁封胶功率电感,FHD252010S-R68MT,2.5*2.0*1.0,0.68uH,0.059Ω,3.2A,2.75A
磁封胶功率电感,FHD252010S-1R0MT,2.5*2.0*1.0,1.0uH,0.085Ω,3.1A,2.2A
